routeid,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime
CJB270002000,105,간선버스,석판종점,형석중.고등학교,0540,2242,40,40,
CJB270002200,111,간선버스,동부종점,한국교통대 증평캠퍼스 앞,0530,2230,45,45,
CJB270002300,112,지선버스,정하,국동리,0630,2100,170,170,
CJB270002500,115,간선버스,동부종점,충북보건과학대학교,0540,2230,60,75,
CJB270002900,20-1,순환버스,남부종점,남부종점,0545,2235,45,49,
CJB270003000,20-2,순환버스,남부종점,남부종점,0540,2245,40,40,
CJB270003100,211,간선버스,북부공영차고지,미동산수목원,0540,2237,35,56,
CJB270003400,212,지선버스,동부종점,삼항리,0600,2125,205,205,
CJB270004100,214,지선버스,동부종점,한계리종점,0820,2130,175,175,
CJB270004200,215,지선버스,동부종점,내암리마을회관,0600,2150,210,210,
CJB270004300,216,지선버스,동부종점,회남,0550,2045,150,150,
CJB270004500,217,지선버스,송암,송암,0620,2135,135,135,
CJB270004700,30-1,순환버스,남부종점,남부종점,0525,2255,24,24,
CJB270004800,30-2,순환버스,남부종점,남부종점,0530,2300,24,24,
CJB270004900,311,간선버스,비하종점,문의문화유산단지 종점,0530,2239,35,49,
CJB270005100,313,지선버스,동부종점,문의향교,0540,2125,130,130,
CJB270005300,314,지선버스,가중2리(버스종점),가중2리,0600,2245,70,70,
CJB270005301,314(단),지선버스,가중2리(버스종점),석교동,,,,,
CJB270005400,315,지선버스,가산,가산,0625,2155,135,135,
CJB270005500,40-1,순환버스,봉명종점,봉명종점,0545,2205,31,31,
CJB270005600,40-2,순환버스,봉명종점,봉명종점,0555,2215,31,31,
CJB270005800,407,간선버스,청주국제공항,신탄진과선교,0540,2235,35,35,
CJB270005900,412,간선버스,봉명종점,부강버스종점,0555,2240,49,84,
CJB270006200,414,지선버스,동부종점,석판종점,0710,2155,170,170,
CJB270006300,415,지선버스,동부종점,문동2리,0530,2100,155,155,
CJB270006400,416,지선버스,동부종점,구암,0620,2220,135,135,
CJB270006600,417,지선버스,동부종점,부강버스종점,0550,2125,200,200,
CJB270006601,417(단),지선버스,동부종점,저산삼거리,,,,,
CJB270007100,500,간선버스,예비군훈련장,오송역종점,0545,2240,45,84,
CJB270007300,502,간선버스,동부종점,조치원역,0520,2300,42,42,
CJB270007500,511,간선버스,정하,오송역종점,0517,2246,51,51,
CJB270007600,512,간선버스,북부공영차고지,동평3리,0550,2215,130,130,
CJB270008000,513,간선버스,동부종점,한국교원대학교,0605,2210,79,104,
CJB270008300,514,간선버스,동부종점,한국교원대학교,0530,2230,94,107,
CJB270008500,516,간선버스,정하,충청대학교,0540,2220,76,100,
CJB270008700,525,지선버스,보건의료행정타운,조치원역,0550,2245,90,90,
CJB270008800,53,간선버스,오송역6,오창종점,0540,2155,79,79,
CJB270008900,611,간선버스,분평아파트단지종점,아트빌아파트,0545,2235,54,54,
CJB270009500,711,간선버스,청주역,진천종합터미널,0530,2220,35,40,
CJB270009800,713,간선버스,분평아파트단지종점,양청고등학교종점,0530,2240,29,35,
CJB270010100,715,지선버스,봉명종점,화하1리,0630,2035,220,220,
CJB270010500,718,지선버스,북부공영차고지,한국기술교육대학교종점,0530,2150,170,170,
CJB270010600,719,지선버스,봉명종점,내수초등학교,0540,2120,165,165,
CJB270010700,720,지선버스,봉명종점,신평1리,0530,2130,180,180,
CJB270011000,722,지선버스,북부공영차고지,강정마을,0540,2214,230,230,
CJB270011200,747,급행버스,청주국제공항,오송역종점,0550,2320,140,140,
CJB270011202,747(단),급행버스,오송역5,고속버스터미널,,,,,
CJB270011500,B3,광역급행버스,청주국제공항,세종터미널 종료,0600,2230,29,29,
CJB270011501,B3(단),광역급행버스,청주국제공항,오송역종점,,,,,
CJB270011601,B3(단),광역급행버스,세종터미널 출발,오송역종점,,,,,
CJB270011700,811-1,순환버스,석곡사거리.아이파크5단지후문,석곡사거리.아이파크5단지후문,0545,2247,36,47,
CJB270011800,811-2,순환버스,석곡사거리.아이파크5단지후문,석곡사거리.아이파크5단지후문,0550,2250,36,42,
CJB270011900,812,간선버스,충북공고앞,북부공영차고지,0615,2250,72,72,
CJB270012000,823,간선버스,우진교통종점,비하종점,0530,2255,35,51,
CJB270012200,831,순환버스,우진교통종점,비하종점,0530,2307,36,67,
CJB270012300,832,순환버스,석판종점,비하종점,0550,2300,33,38,
CJB270012400,841,간선버스,미평사거리(궁뜰로),정북동,0540,2245,45,64,
CJB270012600,842-1,순환버스,우진교통종점,우진교통종점,0530,2143,73,73,
CJB270012700,842-2,순환버스,우진교통종점,우진교통종점,0545,2208,73,73,
CJB270012900,851,간선버스,예비군훈련장,동부종점,0535,2245,45,60,
CJB270013500,864,간선버스,인경리,종합운동장.청주의료원,0640,2120,260,260,
CJB270013503,864(단),순환버스,인경리,도청,,,,,
CJB270014000,911,간선버스,소바위종점,평동,0600,2125,135,135,
CJB270014200,912,지선버스,덕촌3리,신전동,0710,2125,160,160,
CJB270014300,913,지선버스,평동,미호종점,0540,2125,100,100,
CJB270014500,914,간선버스,분평아파트단지종점,정상마을종점,0730,2045,175,175,
CJB270014600,915,간선버스,우진교통종점,예비군훈련장,0630,2139,159,159,
CJB270015100,917,간선버스,동부종점,서촌동,0620,2143,106,106,
CJB270015500,920,지선버스,하수처리과종점,월오동종점,0550,2123,203,203,
CJB270015800,922,간선버스,예비군훈련장,보살사,0550,2220,135,135,
CJB270016200,710,간선버스,샛별초등학교,오창종점,0550,2200,49,64,
CJB270016300,820,간선버스,동부종점,비하종점,0540,2225,35,49,
CJB270016400,872,간선버스,우진교통종점,북부공영차고지,0554,2224,64,64,
CJB270016500,871,간선버스,우진교통종점,북부공영차고지,0530,2222,66,66,
CJB270017300,916-1,간선버스,분평아파트단지종점,원평2구 임시정류장,0540,2125,140,140,
CJB270017400,916-2,간선버스,분평아파트단지종점,원평2구 임시정류장,0630,2220,155,155,
CJB270017500,535,간선버스,오송역6,오창제3산업단지종점,0520,2025,165,165,
CJB270018000,101,간선버스,석판종점,초정약수종점,0530,2220,75,75,
CJB270024600,833,순환버스,비하종점,석판종점,0540,2256,29,44,
CJB270024700,518,지선버스,한국교원대학교,한국보건복지인재원,0540,2250,90,90,
CJB270025700,A3,광역급행버스,반석역,오송역종점,1050,1550,180,,
CJB270025800,B4,광역급행버스,반석역,오송역종점,0515,2342,31,31,
CJB270026300,109,급행버스,석판종점,형석중.고등학교,0550,2225,29,29,
CJB270026400,503,간선버스,우진1차고지,노바렉스,0530,2203,45,61,
CJB270026500,509,급행버스,동부종점,조치원역,0520,2200,42,42,
CJB270026600,702,간선버스,양청고등학교종점,청신운수,0550,2234,40,49,
CJB270026700,731,지선버스,오창종점,비하종점,0535,2228,82,101,
CJB270026800,813,간선버스,북부공영차고지,청신운수,0530,2230,36,56,
CJB270027100,853,간선버스,봉명종점,미평사거리(궁뜰로),0530,2250,60,60,
CJB270027200,521,지선버스,오송역6,조치원역,0530,2250,49,49,
CJB270027500,723,지선버스,북부공영차고지,방말,0600,2100,190,190,
CJB270027600,843,순환버스,비하종점,비하종점,0530,2310,49,49,
CJB270027700,844,간선버스,남부종점,율량LH9단지.제일풍경채아파트,0540,2310,60,60,
CJB270027800,852,간선버스,예비군훈련장,남부종점,0545,2205,125,125,
CJB270027900,862,순환버스,상당산성종점,상당산성종점,0545,2240,45,45,
CJB270027901,862(단),순환버스,상당산성종점,e편한세상아파트,,,,,
CJB270028000,863,순환버스,명암약수터,명암약수터,0530,2220,79,79,
CJB270028100,873,순환버스,이정골종점,이정골종점,0540,2205,85,85,
CJB270028200,921,간선버스,예비군훈련장,목련공원,0630,2210,113,113,
CJB270028300,815,간선버스,동부종점,고속버스터미널,0540,2240,38,51,
CJB270028400,814,간선버스,동부종점,서현초등학교.가경아이파크아파트,0555,2240,36,47,
CJB270028500,114,간선버스,석판종점,증평인삼판매장,0530,2110,126,126,
CJB270028600,213,지선버스,동부종점,호정리,0800,2015,210,210,
CJB270028700,712,간선버스,미평사거리(궁뜰로),양청고등학교종점,0530,2240,49,70,
CJB270028800,923,간선버스,예비군훈련장,율봉근린공원,0530,2205,75,75,
CJB270028900,834,순환버스,비하종점,우진교통종점,0530,2316,38,38,
CJB270029100,618,간선버스,옥산산업단지제3승강장,봉명종점,0540,2238,47,73,
CJB270029200,B6,광역급행버스,세종고속시외버스터미널,오송역종점,0510,0000,100,,
CJB270029300,B7,광역급행버스,집현동,비하종점,0540,2315,29,29,
CJB270029400,18,광역버스,세종고속시외버스터미널,조치원역,0550,2230,35,35,
CJB270029500,1003,광역버스,반석역,바이오폴리스B3지구,0600,2230,20,29,
CJB270029600,A4,광역급행버스,반석역,오송역종점,1105,1535,210,,
CJB270029700,1005,광역버스,반석역,오송역종점,0550,2250,20,20,
CJB270029800,A1,광역급행버스,조치원역,청주국제공항,0935,1500,205,,
